"ECACC No ","depositor","Depositor Cell Line Name","hESCreg Cell Line Name","BioSamples Cell Line ID","Batch","Biosamples Batch ID","Batch Type","EBiSC Internal ID","Comments","Status","Tracking Number ","Action needed"
66540411,"Sanger ","HPSI1014i-babz_3","WTSIi186-A","SAMEA3854226","P001",,"depositor",,"ZD pritned 21-Jun-16",,,
66540412,"Sanger ","HPSI1013i-sita_1","WTSIi187-A","SAMEA3848359","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540413,"Sanger ","HPSI1014i-kefb_1","WTSIi188-A","SAMEA3853038","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540414,"Sanger ","HPSI1014i-quls_2","WTSIi189-A ","SAMEA3966392","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540415,"Sanger ","HPSI0914i-kajh_3","WTSIi190-A","SAMEA3854215","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540416,"Sanger ","HPSI0914i-kajh_2","WTSIi190-B","SAMEA3853122","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540417,"Sanger ","HPSI0215i-oilg_3","WTSIi191-A ","SAMEA3485962","P001",,"depositor",,"ZD printed 22-Jun-16",,,
66540426,"Sanger ","HPSI0414i-biiw_1","WTSIi192-A","SAMEA2733282","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540427,"Sanger ","HPSI0414i-cekz_1","WTSIi193-A","SAMEA2698314","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540428,"Sanger ","HPSI0614i-dixh_2","WTSIi194-A","SAMEA3283000","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540429,"Sanger ","HPSI0414i-eevy_6","WTSIi195-A","SAMEA3848091","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540430,"Sanger ","HPSI0414i-eevy_7","WTSIi195-B","SAMEA3848092","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540431,"Sanger ","HPSI0514i-eoxi_6","WTSIi196-A","SAMEA3355542","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540432,"Sanger ","HPSI0714i-fasu_2","WTSIi197-A","SAMEA3355537","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540433,"Sanger ","HPSI0414i-fuai_1","WTSIi198-A","SAMEA2796155","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540434,"Sanger ","HPSI0614i-guyj_2","WTSIi199-A","SAMEA3292099","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540435,"Sanger ","HPSI0414i-kefk_2","WTSIi200-A","SAMEA2733285","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540436,"Sanger ","HPSI0614i-koqx_1","WTSIi201-A","SAMEA3283863","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540437,"Sanger ","HPSI0714i-oebj_1","WTSIi202-A","SAMEA3355551","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540438,"Sanger ","HPSI0714i-oojs_1","WTSIi203-A","SAMEA3339626","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540439,"Sanger ","HPSI0414i-oulr_2","WTSIi204-A","SAMEA3847989","P001",,"depositor",,"ZD printed 14-Jul-16",,,
66540440,"Sanger ","HPSI0514i-pulk_1","WTSIi205-A","SAMEA3282740","P001",,"depositor",,"ZD printed 14-Jul-16",,,
